draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12
152,-28.0875,-24.125,-22.0083,-23.1117,-17.0633,-9.77,-21.7483,-21.8667,-13.225,4.9933,3.09,-15.2883
153,-28.2708,-24.2133,-22.1125,-23.065,-17.2867,-9.9783,-21.9067,-22.1067,-13.4867,4.8233,2.8917,-15.4967
154,-28.4708,-24.37,-22.3625,-23.3717,-17.5967,-10.23,-22.0017,-22.3333,-13.4633,4.69,2.67,-15.7933
155,-28.6667,-24.5433,-22.5292,-23.3983,-16.4933,-10.435,-22.12,-22.5467,-13.76,4.3767,2.33,-16.09
156,-28.8625,-24.7567,-22.8208,-23.5583,-16.05,-10.61,-22.3183,-22.6833,-13.9567,4.1533,2.0433,-16.3683
157,-29.0667,-24.9417,-22.9167,-23.705,-16.2733,-10.85,-22.5417,-22.9533,-14.23,3.97,1.8433,-16.46
158,-29.275,-25.1233,-23.1417,-24.015,-16.6233,-11.165,-22.865,-23.3333,-14.6033,3.5767,1.4667,-16.875
159,-29.4708,-25.31,-23.3208,-24.175,-16.8967,-11.345,-23.0533,-23.58,-14.9233,3.2733,1.115,-17.2533
160,-29.6292,-25.495,-23.5208,-24.3333,-16.5067,-11.65,-23.325,-23.7933,-15.1917,3.0533,0.9067,-17.5883
161,-29.8375,-25.7117,-23.7083,-24.4817,-16.83,-12.0117,-23.5883,-24.02,-15.4367,2.81,0.6317,-17.8633
162,-30.0292,-25.875,-23.7917,-24.4567,-16.3033,-12.2483,-23.8433,-24.2667,-15.745,2.4533,0.3167,-18.2217
163,-30.1792,-25.9617,-23.7167,-24.375,-15.7767,-12.405,-23.9833,-24.4767,-15.9267,2.33,0.1867,-18.2367
164,-30.3083,-26.1117,-23.7792,-24.51,-16.0533,-12.7533,-24.2617,-24.8,-16.2583,2.0967,-0.1233,-18.5633
165,-30.4958,-26.2933,-23.9417,-24.8067,-16.24,-12.9233,-24.2983,-25.0167,-16.5083,1.9667,-0.345,-18.7917
166,-30.6667,-26.4533,-24.2208,-25.115,-16.5467,-13.2167,-24.5783,-25.36,-16.84,1.6433,-0.64,-19.1467
167,-30.8458,-26.58,-24.2958,-25.4083,-16.8167,-13.3783,-24.725,-25.58,-16.77,1.61,-0.8083,-19.375
168,-30.9708,-26.7,-24.4667,-25.6783,-17.0667,-13.6617,-25.0383,-25.93,-17.0417,1.4267,-0.99,-19.63
169,-31.1583,-26.8917,-24.6792,-25.9767,-17.2367,-13.7417,-25.2067,-26.0833,-16.9617,1.3567,-0.8483,-19.495
170,-31.3792,-27.0533,-24.8333,-26.1017,-17.57,-13.97,-25.2567,-26.32,-17.255,1.0767,-1.12,-19.8183
171,-31.5333,-27.1933,-24.8917,-26.2583,-17.89,-14.25,-25.375,-26.5,-17.2033,1.0033,-1.0083,-19.8733
172,-31.7292,-27.3317,-24.9458,-26.24,-18.1333,-14.495,-25.6483,-26.8467,-17.5117,0.6867,-1.2817,-20.125
173,-31.9333,-27.4433,-25.0,-26.1883,-18.35,-14.76,-25.9017,-27.0767,-17.46,0.4933,-1.4733,-20.1967
174,-32.1167,-27.585,-24.9833,-26.1567,-18.6033,-15.0933,-26.2117,-27.3933,-17.7483,0.3067,-1.6983,-20.4017
175,-32.2708,-27.695,-24.8667,-26.255,-18.82,-15.3467,-26.4917,-27.7033,-18.04,0.1567,-1.585,-20.4283
176,-32.5042,-27.8733,-25.1167,-26.56,-19.1933,-15.6933,-26.7583,-28.0033,-18.3317,0.0033,-1.6333,-20.17
177,-32.6708,-28.0117,-25.3125,-26.6717,-19.45,-15.855,-27.0133,-28.2833,-18.6383,-0.19,-1.8883,-20.4583
178,-32.8667,-28.2017,-25.4708,-26.65,-19.0067,-16.09,-27.24,-28.49,-18.6383,-0.2867,-2.0833,-20.6817
179,-33.0583,-28.3983,-25.7708,-26.9567,-19.3933,-16.4717,-27.5167,-28.8333,-18.93,-0.4933,-2.28,-20.8467
180,-33.2292,-28.5617,-25.9625,-26.9533,-19.01,-16.6767,-27.67,-29.1533,-19.2867,-0.8,-2.555,-21.145
181,-33.3917,-28.7067,-26.0875,-27.27,-19.42,-17.0767,-27.995,-29.54,-19.6133,-0.96,-2.7883,-21.4583
182,-33.5625,-28.845,-26.225,-27.42,-18.9033,-17.2767,-28.22,-29.8367,-19.9267,-1.2367,-3.09,-21.81
183,-33.775,-29.0233,-26.45,-27.6117,-18.5967,-17.615,-28.5567,-30.19,-20.3067,-1.63,-3.455,-22.1317
184,-33.9625,-29.1617,-26.4458,-27.88,-18.7633,-17.7883,-28.5717,-30.3,-20.5383,-1.7633,-3.56,-22.1733
185,-34.1417,-29.3233,-26.5583,-28.0117,-18.99,-18.0017,-28.7733,-30.44,-20.3367,-1.78,-3.6183,-22.3667
186,-34.2625,-29.4633,-26.7542,-28.1483,-19.3,-18.3333,-29.0,-30.5767,-20.5883,-2.0667,-3.8717,-22.6217
187,-34.425,-29.6583,-26.9,-28.44,-19.6467,-18.665,-29.2567,-30.9,-20.9,-2.34,-4.2183,-22.9483
188,-34.625,-29.8,-26.8958,-28.365,-19.06,-18.755,-29.4283,-30.9733,-20.8233,-2.4533,-4.41,-23.2017
189,-34.7667,-29.9483,-27.1458,-28.5117,-19.38,-19.055,-29.7033,-31.3033,-21.14,-2.8067,-4.7283,-23.54
190,-34.9583,-30.1,-27.2833,-28.355,-19.6733,-19.3317,-29.96,-31.6333,-21.5217,-3.1733,-4.9967,-23.8183
191,-35.1792,-30.26,-27.4792,-28.495,-19.9167,-19.6317,-30.1933,-31.9767,-21.8667,-3.4733,-5.17,-24.1017
192,-35.3042,-30.3733,-27.5375,-28.6233,-20.2133,-19.95,-30.5233,-32.3533,-22.2267,-3.8333,-5.4917,-24.4383
193,-35.475,-30.4783,-27.7417,-28.7517,-20.5233,-20.2567,-30.7983,-32.7033,-22.5433,-4.1233,-5.7767,-24.7483
194,-35.6458,-30.63,-27.925,-28.725,-20.0533,-20.4333,-30.955,-32.9033,-22.7967,-4.3333,-6.1,-25.095
195,-35.9,-30.835,-28.1208,-28.9017,-20.3533,-20.7117,-31.14,-33.1633,-23.0783,-4.5967,-6.2833,-25.355
196,-36.0917,-30.9767,-28.3083,-29.0333,-20.0033,-18.4133,-31.31,-31.9033,-23.13,-4.8333,-6.5433,-25.4417
197,-36.2542,-31.1483,-28.5917,-29.35,-20.3167,-18.7533,-31.5767,-32.2333,-23.4233,-5.06,-6.77,-25.6983
