draw,portfolio_plain_draw_column_2,portfolio_bonus_draw_column_2,portfolio_para1_draw_column_2,portfolio_para1_bonus_draw_column_2,portfolio_plain_draw_column_5,portfolio_bonus_draw_column_5,portfolio_para1_draw_column_5,portfolio_para1_bonus_draw_column_5,portfolio_plain_draw_column_7,portfolio_bonus_draw_column_7,portfolio_para1_draw_column_7,portfolio_para1_bonus_draw_column_7
5613,-3066.2783,-3976.9867,-3743.7917,-4654.5,-3014.9167,-3885.3283,-3800.7167,-4671.1283,-2998.7483,-3858.9133,-3916.7483,-4776.9133
5614,-3066.7667,-3977.85,-3744.36,-4655.4433,-3015.6033,-3886.3217,-3801.8033,-4672.5217,-2999.325,-3859.7717,-3917.825,-4778.2717
5615,-3067.3567,-3978.6317,-3745.0367,-4656.3117,-3016.3733,-3887.305,-3802.7733,-4673.705,-2999.8517,-3860.4733,-3917.3517,-4777.9733
5616,-3067.8433,-3979.385,-3745.6333,-4657.175,-3016.2233,-3887.3167,-3802.7233,-4673.8167,-3000.0633,-3860.435,-3915.0633,-4775.435
5617,-3068.5617,-3980.4033,-3746.485,-4658.3267,-3017.0133,-3888.355,-3803.6133,-4674.955,-3000.675,-3860.74,-3914.675,-4774.74
5618,-3068.8983,-3980.9483,-3746.9383,-4658.9883,-3017.5,-3889.2017,-3804.3,-4676.0017,-3001.04,-3861.445,-3915.54,-4775.945
5619,-3069.6833,-3981.5167,-3747.85,-4659.6833,-3017.71,-3887.8883,-3804.61,-4674.7883,-3001.7967,-3861.775,-3915.2967,-4775.275
5620,-3070.1867,-3981.9367,-3748.44,-4660.19,-3018.1833,-3888.2333,-3804.6833,-4674.7333,-3002.0917,-3861.5817,-3914.5917,-4774.0817
5621,-3070.83,-3982.7133,-3749.2233,-4661.1067,-3019.0533,-3889.425,-3806.0533,-4676.425,-3002.845,-3862.555,-3915.845,-4775.555
5622,-3071.185,-3982.9433,-3749.7317,-4661.49,-3019.4633,-3889.995,-3806.3633,-4676.895,-3003.2133,-3863.1583,-3916.7133,-4776.6583
5623,-3071.445,-3983.395,-3750.095,-4662.045,-3019.79,-3890.5167,-3806.69,-4677.4167,-3003.525,-3863.5633,-3917.525,-4777.5633
