draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12
184,-34.2075,-29.076,-26.63,-27.954,-18.804,-20.34,-27.696,-27.236,-24.184,-15.876,-14.492,-25.37
185,-34.38,-29.216,-26.7825,-28.144,-19.068,-20.562,-27.855,-27.326,-23.936,-15.884,-14.591,-25.584
186,-34.5475,-29.368,-26.9225,-28.34,-19.29,-20.839,-28.02,-27.37,-24.094,-16.114,-14.794,-25.692
187,-34.7175,-29.542,-27.0325,-28.529,-19.578,-21.092,-28.242,-27.638,-24.178,-16.222,-15.037,-25.959
188,-34.905,-29.683,-27.0825,-28.501,-19.348,-21.235,-28.441,-27.802,-24.229,-16.39,-15.243,-26.227
189,-35.0525,-29.834,-27.255,-28.708,-19.698,-21.556,-28.701,-28.102,-24.497,-16.642,-15.535,-26.562
190,-35.255,-29.978,-27.385,-28.74,-19.972,-21.854,-28.971,-28.444,-24.855,-17.002,-15.837,-26.892
191,-35.4725,-30.141,-27.5775,-28.945,-20.246,-22.163,-29.218,-28.768,-25.198,-17.292,-16.071,-27.212
192,-35.625,-30.263,-27.7225,-29.057,-20.086,-22.348,-29.374,-29.044,-25.326,-17.116,-14.896,-25.052
193,-35.8325,-30.426,-27.945,-29.152,-20.39,-22.654,-29.619,-29.342,-25.584,-17.368,-15.127,-25.357
194,-36.0275,-30.585,-28.125,-29.264,-20.26,-22.903,-29.847,-29.612,-25.9,-17.628,-15.482,-25.715
195,-36.265,-30.781,-28.325,-29.492,-20.578,-23.212,-30.069,-29.906,-26.202,-17.932,-15.742,-26.001
196,-36.46,-30.913,-28.38,-29.481,-19.966,-21.855,-30.171,-29.21,-26.326,-18.17,-15.986,-26.164
197,-36.6325,-31.074,-28.6525,-29.788,-20.3,-22.183,-30.416,-29.492,-26.556,-18.298,-16.096,-26.384
198,-36.7975,-31.242,-28.795,-29.919,-20.532,-22.358,-30.522,-29.772,-26.852,-18.548,-16.416,-26.705
199,-36.9975,-31.431,-29.0075,-30.225,-20.81,-22.557,-30.756,-30.06,-26.949,-18.65,-16.38,-26.857
200,-37.23,-31.637,-29.195,-30.256,-21.118,-22.897,-31.041,-30.374,-27.248,-18.93,-16.642,-27.147
201,-37.3775,-31.745,-29.3525,-30.551,-21.442,-23.209,-31.316,-30.702,-27.539,-19.21,-16.846,-27.378
202,-37.58,-31.96,-29.565,-30.48,-21.252,-23.449,-31.553,-31.016,-27.846,-19.508,-17.15,-27.669
203,-37.79,-32.161,-29.7375,-30.705,-21.134,-23.771,-31.873,-31.41,-28.239,-19.858,-17.442,-28.006
204,-37.995,-32.35,-29.89,-30.957,-21.396,-23.964,-32.064,-31.702,-28.489,-20.114,-17.742,-28.274
205,-38.1925,-32.503,-30.085,-31.266,-21.71,-24.299,-32.355,-32.006,-28.657,-20.35,-17.785,-28.444
206,-38.4025,-32.698,-30.19,-31.201,-21.526,-24.524,-32.556,-32.248,-28.903,-20.624,-18.043,-28.755
207,-38.6275,-32.891,-30.455,-31.413,-21.846,-24.882,-32.879,-32.558,-29.21,-20.862,-18.328,-29.063
208,-38.77,-33.008,-30.655,-31.717,-22.192,-25.2,-33.188,-32.87,-29.532,-21.07,-18.406,-29.163
209,-38.9175,-33.131,-30.67,-31.596,-21.968,-25.43,-33.405,-33.034,-29.765,-21.286,-18.673,-29.425
210,-39.085,-33.279,-30.8025,-31.695,-22.242,-25.701,-33.683,-33.354,-30.115,-21.602,-18.975,-29.753
211,-39.3175,-33.438,-31.005,-31.861,-22.474,-25.987,-33.905,-33.636,-30.213,-21.758,-19.176,-29.988
212,-39.52,-33.634,-31.26,-32.193,-22.818,-26.332,-34.183,-33.898,-30.479,-21.956,-19.026,-29.891
213,-39.7125,-33.769,-31.31,-32.186,-22.618,-26.561,-34.377,-33.184,-30.596,-22.078,-19.224,-30.128
214,-39.9125,-33.937,-31.49,-32.299,-22.884,-26.768,-34.611,-33.534,-30.951,-22.348,-19.447,-30.311
215,-40.075,-34.09,-31.6425,-32.579,-23.178,-27.063,-34.841,-33.788,-31.194,-22.514,-19.347,-30.269
216,-40.2625,-34.258,-31.74,-32.597,-23.086,-27.315,-35.033,-33.106,-31.332,-22.766,-19.598,-30.553
217,-40.43,-34.427,-31.91,-32.891,-23.396,-27.683,-35.337,-33.39,-31.622,-23.052,-19.942,-30.903
