global_draw,segment,chosen_strategy,cumulative_profit,bankroll
20273,1,parity_fixed_odd_t10_mg5,0.0,500.0
20274,1,parity_fixed_odd_t10_mg5,0.0,500.0
20275,1,parity_fixed_odd_t10_mg5,0.0,500.0
20276,1,parity_fixed_odd_t10_mg5,0.0,500.0
20277,1,parity_fixed_odd_t10_mg5,0.0,500.0
20278,1,parity_fixed_odd_t10_mg5,0.0,500.0
20279,1,parity_fixed_odd_t10_mg5,0.0,500.0
20280,1,parity_fixed_odd_t10_mg5,0.0,500.0
20281,1,parity_fixed_odd_t10_mg5,0.0,500.0
20282,1,parity_fixed_odd_t10_mg5,0.0,500.0
20283,1,parity_fixed_odd_t10_mg5,0.0,500.0
20284,1,parity_fixed_odd_t10_mg5,0.0,500.0
20285,1,parity_fixed_odd_t10_mg5,0.0,500.0
20286,1,parity_fixed_odd_t10_mg5,0.0,500.0
20287,1,parity_fixed_odd_t10_mg5,0.0,500.0
20288,1,parity_fixed_odd_t10_mg5,0.0,500.0
20289,1,parity_fixed_odd_t10_mg5,0.0,500.0
20290,1,parity_fixed_odd_t10_mg5,0.0,500.0
20291,1,parity_fixed_odd_t10_mg5,0.0,500.0
20292,1,parity_fixed_odd_t10_mg5,0.0,500.0
20293,1,parity_fixed_odd_t10_mg5,0.0,500.0
20294,1,parity_fixed_odd_t10_mg5,0.0,500.0
20295,1,parity_fixed_odd_t10_mg5,0.0,500.0
20296,1,parity_fixed_odd_t10_mg5,0.0,500.0
20297,1,parity_fixed_odd_t10_mg5,0.0,500.0
20298,1,parity_fixed_odd_t10_mg5,0.0,500.0
20299,1,parity_fixed_odd_t10_mg5,0.0,500.0
20300,1,parity_fixed_odd_t10_mg5,0.0,500.0
20301,1,parity_fixed_odd_t10_mg5,0.0,500.0
20302,1,parity_fixed_odd_t10_mg5,0.0,500.0
20303,1,parity_fixed_odd_t10_mg5,0.0,500.0
20304,1,parity_fixed_odd_t10_mg5,0.0,500.0
20305,1,parity_fixed_odd_t10_mg5,0.0,500.0
20306,1,parity_fixed_odd_t10_mg5,0.0,500.0
20307,1,parity_fixed_odd_t10_mg5,0.0,500.0
20308,1,parity_fixed_odd_t10_mg5,0.0,500.0
20309,1,parity_fixed_odd_t10_mg5,0.0,500.0
20310,1,parity_fixed_odd_t10_mg5,0.0,500.0
20311,1,parity_fixed_odd_t10_mg5,0.0,500.0
20312,1,parity_fixed_odd_t10_mg5,0.0,500.0
20313,1,parity_fixed_odd_t10_mg5,0.0,500.0
20314,1,parity_fixed_odd_t10_mg5,0.0,500.0
20315,1,parity_fixed_odd_t10_mg5,0.0,500.0
20316,1,parity_fixed_odd_t10_mg5,0.0,500.0
20317,1,parity_fixed_odd_t10_mg5,0.0,500.0
20318,1,parity_fixed_odd_t10_mg5,0.0,500.0
20319,1,parity_fixed_odd_t10_mg5,0.0,500.0
20320,1,parity_fixed_odd_t10_mg5,0.0,500.0
20321,1,parity_fixed_odd_t10_mg5,0.0,500.0
20322,1,parity_fixed_odd_t10_mg5,0.0,500.0
20323,1,parity_fixed_odd_t10_mg5,0.0,500.0
20324,1,parity_fixed_odd_t10_mg5,0.0,500.0
20325,1,parity_fixed_odd_t10_mg5,0.0,500.0
20326,1,parity_fixed_odd_t10_mg5,0.0,500.0
20327,1,parity_fixed_odd_t10_mg5,0.0,500.0
20328,1,parity_fixed_odd_t10_mg5,0.0,500.0
20329,1,parity_fixed_odd_t10_mg5,0.0,500.0
20330,1,parity_fixed_odd_t10_mg5,0.0,500.0
20331,1,parity_fixed_odd_t10_mg5,0.0,500.0
20332,1,parity_fixed_odd_t10_mg5,0.0,500.0
20333,1,parity_fixed_odd_t10_mg5,0.0,500.0
20334,1,parity_fixed_odd_t10_mg5,0.0,500.0
20335,1,parity_fixed_odd_t10_mg5,0.0,500.0
20336,1,parity_fixed_odd_t10_mg5,0.0,500.0
20337,1,parity_fixed_odd_t10_mg5,0.0,500.0
20338,1,parity_fixed_odd_t10_mg5,0.0,500.0
20339,1,parity_fixed_odd_t10_mg5,0.0,500.0
20340,1,parity_fixed_odd_t10_mg5,0.0,500.0
20341,1,parity_fixed_odd_t10_mg5,0.0,500.0
20342,1,parity_fixed_odd_t10_mg5,0.0,500.0
20343,1,parity_fixed_odd_t10_mg5,0.0,500.0
20344,1,parity_fixed_odd_t10_mg5,0.0,500.0
20345,1,parity_fixed_odd_t10_mg5,0.0,500.0
20346,1,parity_fixed_odd_t10_mg5,0.0,500.0
20347,1,parity_fixed_odd_t10_mg5,0.0,500.0
20348,1,parity_fixed_odd_t10_mg5,0.0,500.0
20349,1,parity_fixed_odd_t10_mg5,0.0,500.0
20350,1,parity_fixed_odd_t10_mg5,0.0,500.0
20351,1,parity_fixed_odd_t10_mg5,0.0,500.0
20352,1,parity_fixed_odd_t10_mg5,0.0,500.0
20353,1,parity_fixed_odd_t10_mg5,0.0,500.0
20354,1,parity_fixed_odd_t10_mg5,0.0,500.0
20355,1,parity_fixed_odd_t10_mg5,0.0,500.0
20356,1,parity_fixed_odd_t10_mg5,0.0,500.0
20357,1,parity_fixed_odd_t10_mg5,0.0,500.0
20358,1,parity_fixed_odd_t10_mg5,0.0,500.0
20359,1,parity_fixed_odd_t10_mg5,0.0,500.0
20360,1,parity_fixed_odd_t10_mg5,0.0,500.0
20361,1,parity_fixed_odd_t10_mg5,0.0,500.0
20362,1,parity_fixed_odd_t10_mg5,0.0,500.0
20363,1,parity_fixed_odd_t10_mg5,0.0,500.0
20364,1,parity_fixed_odd_t10_mg5,0.0,500.0
20365,1,parity_fixed_odd_t10_mg5,0.0,500.0
20366,1,parity_fixed_odd_t10_mg5,0.0,500.0
20367,1,parity_fixed_odd_t10_mg5,0.0,500.0
20368,1,parity_fixed_odd_t10_mg5,0.0,500.0
20369,1,parity_fixed_odd_t10_mg5,0.0,500.0
20370,1,parity_fixed_odd_t10_mg5,0.0,500.0
20371,1,parity_fixed_odd_t10_mg5,0.0,500.0
20372,1,parity_fixed_odd_t10_mg5,0.0,500.0
20373,1,parity_fixed_odd_t10_mg5,0.0,500.0
20374,1,parity_fixed_odd_t10_mg5,0.0,500.0
20375,1,parity_fixed_odd_t10_mg5,0.0,500.0
20376,1,parity_fixed_odd_t10_mg5,0.0,500.0
20377,1,parity_fixed_odd_t10_mg5,0.0,500.0
20378,1,parity_fixed_odd_t10_mg5,0.0,500.0
20379,1,parity_fixed_odd_t10_mg5,0.0,500.0
20380,1,parity_fixed_odd_t10_mg5,0.0,500.0
20381,1,parity_fixed_odd_t10_mg5,0.0,500.0
20382,1,parity_fixed_odd_t10_mg5,0.0,500.0
20383,1,parity_fixed_odd_t10_mg5,0.0,500.0
20384,1,parity_fixed_odd_t10_mg5,0.0,500.0
20385,1,parity_fixed_odd_t10_mg5,0.0,500.0
20386,1,parity_fixed_odd_t10_mg5,0.0,500.0
20387,1,parity_fixed_odd_t10_mg5,0.0,500.0
20388,1,parity_fixed_odd_t10_mg5,0.0,500.0
20389,1,parity_fixed_odd_t10_mg5,0.0,500.0
20390,1,parity_fixed_odd_t10_mg5,0.0,500.0
20391,1,parity_fixed_odd_t10_mg5,0.0,500.0
20392,1,parity_fixed_odd_t10_mg5,0.0,500.0
20393,1,parity_fixed_odd_t10_mg5,0.0,500.0
20394,1,parity_fixed_odd_t10_mg5,0.0,500.0
20395,1,parity_fixed_odd_t10_mg5,0.0,500.0
20396,1,parity_fixed_odd_t10_mg5,0.0,500.0
20397,1,parity_fixed_odd_t10_mg5,0.0,500.0
20398,1,parity_fixed_odd_t10_mg5,0.0,500.0
20399,1,parity_fixed_odd_t10_mg5,0.0,500.0
20400,1,parity_fixed_odd_t10_mg5,0.0,500.0
20401,1,parity_fixed_odd_t10_mg5,0.0,500.0
20402,1,parity_fixed_odd_t10_mg5,0.0,500.0
20403,1,parity_fixed_odd_t10_mg5,0.0,500.0
20404,1,parity_fixed_odd_t10_mg5,0.0,500.0
20405,1,parity_fixed_odd_t10_mg5,0.0,500.0
20406,1,parity_fixed_odd_t10_mg5,0.0,500.0
20407,1,parity_fixed_odd_t10_mg5,0.0,500.0
20408,1,parity_fixed_odd_t10_mg5,0.0,500.0
20409,1,parity_fixed_odd_t10_mg5,0.0,500.0
20410,1,parity_fixed_odd_t10_mg5,-1.0,499.0
20411,1,parity_fixed_odd_t10_mg5,1.0,501.0
20412,1,parity_fixed_odd_t10_mg5,1.0,501.0
20413,1,parity_fixed_odd_t10_mg5,1.0,501.0
20414,1,parity_fixed_odd_t10_mg5,1.0,501.0
20415,1,parity_fixed_odd_t10_mg5,1.0,501.0
20416,1,parity_fixed_odd_t10_mg5,1.0,501.0
20417,1,parity_fixed_odd_t10_mg5,1.0,501.0
20418,1,parity_fixed_odd_t10_mg5,1.0,501.0
20419,1,parity_fixed_odd_t10_mg5,1.0,501.0
20420,1,parity_fixed_odd_t10_mg5,1.0,501.0
20421,1,parity_fixed_odd_t10_mg5,1.0,501.0
